Company_Name,Category,Address,Url,Latitude,Longitude,State,Territory
Unisex Gym,Gym,"4QPW+3RV, Bali Baat, Rukmini Gaon, Guwahati, Assam 781036, India",https://www.google.co.kr/maps/place/Unisex+Gym/data=!4m5!3m4!1s0x375a58d747a1eb71:0x26662a6e42370fb0!8m2!3d26.1352295!4d91.7970615?authuser=0&hl=en&rclk=1,26.1352295,91.7970615,Assam,East
SARAIGHAT FITNESS CENTRE,Gym,"MG Road, Rangia, Assam 781354, India",https://www.google.co.kr/maps/place/SARAIGHAT+FITNESS+CENTRE/data=!4m5!3m4!1s0x375bb3abaf65a51f:0x7fb5da0029f76fcd!8m2!3d26.4372518!4d91.6201102?authuser=0&hl=en&rclk=1,26.4372518,91.6201102,Assam,East
Stay Fit Live Pure Fitness Academy,Fitness center,"2nd Floor, House No. 87, Rajgarh Main Rd Opposite Guwahati Eye Center, adjacent to Canon Servicing Center, Guwahati, Assam 781003, India",https://www.google.co.kr/maps/place/Stay+Fit+Live+Pure+Fitness+Academy/data=!4m5!3m4!1s0x375a59f751e3dcb3:0x889f570d82948f85!8m2!3d26.1731639!4d91.7721659?authuser=0&hl=en&rclk=1,26.1731639,91.7721659,Assam,East
Saikia gym,Gym,"Borpukhuri Rd, Biswanath Charali, Assam 784176, India",https://www.google.co.kr/maps/place/Saikia+gym/data=!4m5!3m4!1s0x37445f275fd35183:0xdfdc4e81bf995f2a!8m2!3d26.7443057!4d93.144615?authuser=0&hl=en&rclk=1,26.7443057,93.144615,Assam,East
Viva Health And Fitness - Gym for Women,Gym,"5QC7+FCG, South Sarania, Lachit Nagar, Guwahati, Assam 781003, India",https://www.google.co.kr/maps/place/Viva+Health+And+Fitness+-+Gym+for+Women/data=!4m5!3m4!1s0x375a59781e33a3d9:0x5bb5567b8386396a!8m2!3d26.1711808!4d91.7635665?authuser=0&hl=en&rclk=1,26.1711808,91.7635665,Assam,East
Body Flex,Gym,"2nd Floor, RG Baruah Rd, Near Punjab National Bank, Sunderpur, Guwahati, Assam 781005, India",https://www.google.co.kr/maps/place/Body+Flex/data=!4m5!3m4!1s0x375a5919be7de983:0x3d7f4135955d20ae!8m2!3d26.1533183!4d91.7841957?authuser=0&hl=en&rclk=1,26.1533183,91.7841957,Assam,East
K Fitness Gym,Gym,"1st Floor, Upasana Building, Jail Road, near KG Nursing Home, Nandanpur, Jorhat, Assam 785001, India",https://www.google.co.kr/maps/place/K+Fitness+Gym/data=!4m5!3m4!1s0x3746c297d458663f:0xc399ea8fa7a301f7!8m2!3d26.748378!4d94.202601?authuser=0&hl=en&rclk=1,26.748378,94.202601,Assam,East
APM HEALTH GYM,Gym,"Charigaon-Nimati Rd, Koibortta Gaon, Assam 785101, India",https://www.google.co.kr/maps/place/APM+HEALTH+GYM/data=!4m5!3m4!1s0x3746dd59b73e874d:0xde873fc9e4e2dec0!8m2!3d26.8207409!4d94.2415441?authuser=0&hl=en&rclk=1,26.8207409,94.2415441,Assam,East
FIT FACTOR,Gym,"Tulasi Narayan Sharma Path, Malow Ali, Jorhat, Assam 785001, India",https://www.google.co.kr/maps/place/FIT+FACTOR/data=!4m5!3m4!1s0x3746c36e78fd1051:0x302d5f6f60498645!8m2!3d26.7633386!4d94.2042662?authuser=0&hl=en&rclk=1,26.7633386,94.2042662,Assam,East
Fitness Gold Gym,Gym,"Hatigaon Bhetapara Rd, Beltola Tiniali, Guwahati, Assam 781028, India",https://www.google.co.kr/maps/place/Fitness+Gold+Gym/data=!4m5!3m4!1s0x375a5ed39cc80b23:0x2ae6e2233d43a27f!8m2!3d26.121702!4d91.7872122?authuser=0&hl=en&rclk=1,26.121702,91.7872122,Assam,East
Real Builders Gym,Gym,"Sawkuchi Tiniali, Lokhra, Guwahati, Assam 781034, India",https://www.google.co.kr/maps/place/Real+Builders+Gym/data=!4m5!3m4!1s0x375a5c06ad84a583:0x41584b8d98ab384a!8m2!3d26.1201764!4d91.7488415?authuser=0&hl=en&rclk=1,26.1201764,91.7488415,Assam,East
Avita Gym,Gym,"Mithapukhuri Rd, Babupatty, Jorhat, Assam 785001, India",https://www.google.co.kr/maps/place/Avita+Gym/data=!4m5!3m4!1s0x3746c2c00c798ca3:0x3d3aca4d4043bb14!8m2!3d26.7582853!4d94.2139314?authuser=0&hl=en&rclk=1,26.7582853,94.2139314,Assam,East
Fitness Freak,Gym,"Jwhwlao Dwimalu Rd, Kokrajhar, Assam 783370, India",https://www.google.co.kr/maps/place/Fitness+Freak/data=!4m5!3m4!1s0x375860304b978db5:0x81837541526f1e2d!8m2!3d26.4054822!4d90.2692367?authuser=0&hl=en&rclk=1,26.4054822,90.2692367,Assam,East
GYM & Fitness,Fitness center,"4QPF+58C, JANAKPUR, Kahilipara, Guwahati, Assam 781019, India",https://www.google.co.kr/maps/place/GYM+%26+Fitness/data=!4m5!3m4!1s0x375a59481f891c53:0x19947f3fc05be4a6!8m2!3d26.1354433!4d91.7732526?authuser=0&hl=en&rclk=1,26.1354433,91.7732526,Assam,East
Arun Universal Gym,Fitness center,"Mother Teresa Rd, Geetanagar, Guwahati, Assam 781021, India",https://www.google.co.kr/maps/place/Arun+Universal+Gym/data=!4m5!3m4!1s0x375a59a9eed8eabb:0xc12eee91b692fe50!8m2!3d26.1687642!4d91.7831128?authuser=0&hl=en&rclk=1,26.1687642,91.7831128,Assam,East
S.M FITNESS,Gym,"7QV5+74Q, Ledo, Assam 786182, India",https://www.google.co.kr/maps/place/S.M+FITNESS/data=!4m5!3m4!1s0x373ed8f65f15b241:0x65b1d88119b9ec61!8m2!3d27.2932131!4d95.7578696?authuser=0&hl=en&rclk=1,27.2932131,95.7578696,Assam,East
S. Fitness zone,Gym,"Jwhwlao Dwimalu Rd, Kokrajhar, Assam 783370, India",https://www.google.co.kr/maps/place/S.+Fitness+zone/data=!4m5!3m4!1s0x375861d35d6c5c17:0xddf8f8623d29ace1!8m2!3d26.4052391!4d90.2698064?authuser=0&hl=en&rclk=1,26.4052391,90.2698064,Assam,East
